opstina,mesto,ulica,cena,povrsina,cena_po_m2,broj_soba,stanje,sprat,grejanje,uknjizenost,parking_garaza,Lift,Terasa,Lodja,Tavan,Podrum,namesten,godina_izgradnje,X,Y
Zemun,Zemun Polje,Burgerovih,55000,62,887,2.5,NA,3,Etazno,NA,1,0,1,0,0,0,NA,2015,44.87601,20.32553
Vozdovac,Kumodraz,Kruzna,55000,67,821,2.5,NA,Prizemlje,Etazno,Uknjizeno,1,NA,NA,NA,NA,NA,NA,2008,44.74669,20.50325
Palilula,Borca,Sonje Marinkovic,54000,54,1000,2.5,NA,5,Centralno,Uknjizeno,0,1,1,0,0,1,Prazno,NA,44.87239,20.45906
Obrenovac,,Obrenovac,54000,72,750,2.5,NA,NA,Centralno,Uknjizeno,0,0,1,0,0,0,NA,NA,44.65374,20.20248
Vozdovac,Medakovic ,Ignjata Stanimirovica,53900,52,1037,2.5,NA,3,Gas,Uknjizeno,1,0,1,0,0,0,NA,2016,44.76832,20.50651
Vozdovac,Medakovic ,Ignjata Stanimirovica,53900,52,1037,2.5,NA,2,Gas,Uknjizeno,1,0,1,0,0,0,NA,2016,44.76832,20.50651
Vozdovac,Medakovic,Vojvode Vlahovica,53000,50,1060,2.5,NA,3,Etazno,NA,1,0,1,0,0,0,NA,2012,44.75681,20.50663
Palilula,Karaburma,Mirijevski Bulevar,53000,57,930,2.5,NA,4,Struja,Uknjizeno,0,0,0,0,0,1,Prazno,NA,44.81406,20.52058
Vozdovac,Brace Jerkovic,Vojvode Vlahovica,52800,44,1200,2.5,NA,3,Etazno,Uknjizeno,0,0,1,0,0,0,NA,NA,44.75681,20.50663
Zvezdara,Zvezdara,Miljana Miljanica,52800,44,1200,2.5,NA,3,Etazno,Uknjizeno,1,0,1,0,0,0,NA,2012,44.80239,20.48914
Mladenovac,Mladenovac - Centar,Njegoseva,52800,66,800,2.5,NA,1,Gas,Uknjizeno,1,0,1,0,0,0,NA,2019,44.44536,20.69558
Rakovica,Rakovica - Centar,Maricka,52500,62,847,2.5,NA,4,Struja,Uknjizeno,0,NA,NA,NA,NA,NA,Namesteno,NA,44.74375,20.43612
Zemun,Batajnica,Batajnica,52000,51,1020,2.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,44.8738,20.33844
Mladenovac,Mladenovac - Centar,Sretena Lomica ,51704,65,795,2.5,NA,NA,Gas,Uknjizba u toku,1,0,1,0,0,0,NA,2019,44.4466,20.68958
Rakovica,Miljakovac,Nikole Marakovica,51500,55,936,2.5,NA,Prizemlje,Centralno,Uknjizeno,0,0,0,1,0,0,NA,NA,44.74784,20.45879
Zvezdara,Mirijevo,Mirijevo,51450,49,1050,2.5,NA,NA,Etazno,Uknjizeno,0,1,0,0,0,0,NA,2020,44.79313,20.50491
Vozdovac,Kumodraz,Decembarska,51000,42,1214,2.5,NA,1,Etazno,Uknjizeno,1,0,1,0,0,1,Namesteno,NA,44.74252,20.50486
Palilula,Krnjaca,Krnjaca,51000,85,600,2.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,44.81118,20.47897
Palilula,Borca,Ratnih vojnih invalida,50000,48,1042,2.5,NA,2,Centralno,Uknjizba u toku,1,1,1,0,0,0,NA,2019,44.87655,20.45351
Zvezdara,Mirijevo,Jovanke Radakovic,50000,51,980,2.5,NA,Nisko,Etazno,Uknjizeno,0,0,1,0,0,0,NA,NA,44.79461,20.52353
Zvezdara,Mirijevo,Jovanke Radakovic,50000,51,980,2.5,NA,Nisko,Etazno,Uknjizeno,0,0,1,0,0,0,NA,NA,44.79461,20.52353
Obrenovac,Obrenovac - Centar,Obrenovac - Centar,50000,65,769,2.5,NA,5,Centralno,Uknjizba u toku,0,1,0,0,0,0,NA,2011,44.65374,20.20248
Palilula,Karaburma,Dragoslava Srejovica,49900,46,1085,2.5,NA,Potkrovlje,NA,Uknjizeno,0,0,1,0,0,0,Prazno,NA,44.81088,20.50942
Palilula,Cvijiceva,Dalmatinska,49000,40,1225,2.5,NA,Suteren,Centralno,Uknjizeno,1,NA,NA,NA,NA,NA,NA,1923,44.8128,20.47618
Zvezdara,Mirijevo,Lazara Trifunovica,49000,50,980,2.5,NA,Nisko,Norveski radijatori,Uknjizeno,0,1,0,0,0,0,NA,NA,44.7955,20.53598
Rakovica,Miljakovac,Miljakovacki vinogradi,48500,65,746,2.5,NA,Prizemlje,Struja,Uknjizeno,1,NA,NA,NA,NA,NA,NA,2015,44.73693,20.45417
Zvezdara,Mirijevo,Vlastimira Ðuze Stojiljkovica,48000,41,1171,2.5,NA,Prizemlje,Struja,Uknjizeno,1,1,1,0,0,0,NA,2020,44.79313,20.50491
Rakovica,Miljakovac,Celebicka,48000,60,800,2.5,NA,5,Centralno,Uknjizeno,1,NA,NA,NA,NA,NA,Namesteno,1995,44.7499,20.45239
Obrenovac,,Obrenovac,48000,73,658,2.5,NA,6,Centralno,Uknjizeno,1,0,1,0,0,1,Prazno,NA,44.65374,20.20248
Vozdovac,Medakovic ,Petkov kladenac,47500,41,1159,2.5,NA,2,Etazno,Nije uknjizeno,0,NA,NA,NA,NA,NA,Prazno,NA,44.7644,20.52167
Zvezdara,Mirijevo,Sejkina,47000,39,1205,2.5,NA,1,Etazno,Uknjizeno,0,0,1,0,0,0,Prazno,NA,44.79762,20.529
Zemun,Gornji Grad,Dragana Rakica,47000,60,783,2.5,NA,3,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,Prazno,1993,44.84437,20.38956
Vozdovac,Vojvode Vlahovica,Vojvode Vlahovica,46770,49,954,2.5,NA,Prizemlje,Etazno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.75681,20.50663
Vozdovac,Lekino Brdo,Rada Neimara,46000,52,885,2.5,NA,Prizemlje,Etazno,Uknjizeno,0,0,1,0,0,0,Prazno,NA,44.78798,20.49274
Grocka,Kaluderica,Kopaonicka,45000,42,1071,2.5,NA,3,Etazno,Uknjizeno,1,0,1,0,0,0,NA,2018,44.76443,20.554117
Rakovica,Knezevac,Slavka Rodica,45000,53,849,2.5,NA,1,Etazno,Nije uknjizeno,1,0,1,0,0,0,Namesteno,2011,44.73973,20.43259
Obrenovac,Obrenovac - Centar,Branislava Nusica,45000,57,789,2.5,NA,5,Centralno,Uknjizeno,0,1,0,0,0,0,NA,2010,44.65693,20.19332
Vozdovac,Pasino brdo,Bacvanska,42500,60,708,2.5,NA,Nisko,TA pec,Uknjizba u toku,0,NA,NA,NA,NA,NA,Prazno,NA,44.78929,20.49393
Lazarevac,,Niska,42000,70,600,2.5,NA,NA,NA,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.79154,20.43075
Lazarevac,,Niska,42000,70,600,2.5,NA,NA,NA,Uknjizeno,0,0,0,0,0,0,NA,NA,44.79154,20.43075
Surcin,,Savska,41000,40,1025,2.5,NA,NA,Etazno,Uknjizeno,0,0,0,0,0,1,Prazno,NA,44.80866,20.45723
Rakovica,Resnik,4. Aprila,41000,52,788,2.5,NA,3,TA pec,Uknjizeno,0,0,1,0,0,0,NA,NA,44.72198,20.45081
Zemun,Novi Grad,Cvijiceva,40000,46,870,2.5,NA,1,Struja,Uknjizeno,0,0,1,0,0,0,Prazno,NA,44.83655,20.37392
Palilula,Borca,Milana Toplice,40000,47,851,2.5,NA,NA,Struja,Nije uknjizeno,0,0,1,0,0,1,Prazno,NA,44.88285,20.45693
Palilula,Borca,Ratnih vojnih invalida,40000,66,606,2.5,NA,7,Centralno,Uknjizeno,1,1,0,0,0,0,NA,1983,44.87655,20.45351
Palilula,Visnjicka Banja,Visnjicki venac,39000,45,867,2.5,NA,Suteren,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,Prazno,1989,44.81739,20.54126
Zemun,Zemun Polje,Sergeja Jesenjina,38000,58,655,2.5,NA,1,Etazno,Uknjizeno,1,0,0,2,0,0,NA,NA,44.87313,20.32409
Obrenovac,Baric,Baric,36500,67,545,2.5,NA,2,NA,Uknjizeno,0,0,1,0,0,1,Prazno,1970,44.80302,20.34905
Barajevo,Barajevo - Centar,Carice Milice,33000,75,440,2.5,NA,3,NA,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.81555,20.456
Obrenovac,Baric,Radnicka,25990,46,565,2.5,NA,NA,TA pec,Uknjizeno,1,NA,NA,NA,NA,NA,NA,NA,44.65374,20.20248
Barajevo,,Dvadesetog oktobra,25000,55,455,2.5,NA,5,Struja,Uknjizeno,0,0,1,0,0,0,Prazno,2019,44.81311,20.46329
Barajevo,Gaj,20. oktobra,22000,49,449,2.5,NA,5,Etazno,Uknjizeno,1,0,1,0,0,0,NA,NA,44.77423,20.5324
Novi Beograd,Blok 67a - A Blok,Jurija Gagarina,260000,74,3514,2.5,Novo,3,NA,Uknjizeno,0,1,1,0,0,0,NA,NA,44.80407,20.37989
Vracar,Kalenic,Kalenic,256500,78,3288,2.5,Novo,2,Centralno,Uknjizeno,1,1,1,0,0,0,Prazno,NA,44.80135,20.47574
Vozdovac,Autokomanda,Boze Jankovica,229000,107,2140,2.5,Novo,5,Podno,NA,1,1,1,0,0,1,NA,2020,44.74713,20.48105
Savski Venac,Zeleni Venac,Zeleni Venac,225000,93,2419,2.5,Novo,3,Etazno,Uknjizeno,0,0,1,0,0,0,Namesteno,NA,44.8128,20.45711
Savski Venac,Beograd na vodi,Beograd na vodi,212888,68,3131,2.5,Novo,12,Centralno,Uknjizeno,1,1,1,0,0,0,Polunamesteno,NA,44.80921,20.45865
Savski Venac,Beograd na vodi,Simfonija 1,210888,71,2970,2.5,Novo,5,Centralno,NA,1,1,1,0,0,1,NA,2019,44.80921,20.45865
Novi Beograd,Blok 67a - A Blok,Blok 67a - A Blok,210000,75,2800,2.5,Novo,7,Centralno,Uknjizeno,1,1,1,0,0,0,Prazno,NA,44.81535,20.41593
Novi Beograd,Blok 19,Vladimira Popovica,209000,86,2430,2.5,Novo,4,Centralno,Uknjizeno,0,0,1,0,0,0,NA,2009,44.80749,20.43474
Novi Beograd,Blok 19a,Vladimira Popovica,209000,86,2430,2.5,Novo,4,Centralno,Uknjizeno,0,1,1,0,0,1,NA,2009,44.80749,20.43474
Novi Beograd,Blok 19,Vladimira Popovica,209000,87,2402,2.5,Novo,4,Centralno,Uknjizeno,1,1,0,1,0,0,Prazno,NA,44.80749,20.43474
Novi Beograd,Blok 67a - A Blok,Blok 67a - A Blok,199500,73,2733,2.5,Novo,2,Centralno,Uknjizeno,1,1,1,0,0,0,Prazno,NA,44.81535,20.41593
Vracar,Crveni Krst Vracar,Sazonova,195000,71,2746,2.5,Novo,1,Norveski radijatori,Uknjizeno,0,0,1,0,0,0,NA,NA,44.7959,20.48261
Vracar,Cubura,Sazonova,195000,78,2500,2.5,Novo,NA,Etazno,Nije uknjizeno,0,0,1,0,0,0,Prazno,2016,44.7959,20.48261
Vozdovac,Autokomanda,Admirala Vukovica,190900,83,2300,2.5,Novo,1,Centralno,Uknjizeno,0,1,0,1,0,0,Prazno,2019,44.78522,20.4721
Vozdovac,Autokomanda,Admirala Vukovica,190900,83,2300,2.5,Novo,2,Centralno,Uknjizeno,0,1,0,1,0,0,Prazno,2019,44.78522,20.4721
Vozdovac,Autokomanda,Admirala Vukovica,190900,83,2300,2.5,Novo,3,Centralno,Uknjizeno,0,1,0,1,0,0,Prazno,2019,44.78522,20.4721
Vozdovac,Autokomanda,Admirala Vukovica,190900,83,2300,2.5,Novo,4,Centralno,Uknjizeno,0,1,0,1,0,0,Prazno,2019,44.78522,20.4721
Stari Grad,Dorcol,Skender begova,190000,81,2346,2.5,Novo,4,Centralno,Uknjizeno,0,1,1,0,0,0,Prazno,2005,44.82261,20.46317
Novi Beograd,Blok 67a - A Blok,Blok 67a - A Blok,189000,57,3316,2.5,Novo,Prizemlje,Centralno,Uknjizeno,1,1,0,0,0,0,Polunamesteno,NA,44.81535,20.41593
Vozdovac,Lekino Brdo,Petrovaradinska,186360,85,2192,2.5,Novo,3,Centralno,NA,1,1,1,0,0,0,NA,2020,44.78978,20.48698
Zvezdara,Vukov Spomenik,Celopecka,184800,77,2400,2.5,Novo,1,Centralno,Uknjizeno,1,1,1,0,0,0,Prazno,2018,44.80559,20.48027
Vracar,Kalenic,Ljubostinjska,180000,73,2466,2.5,Novo,1,Etazno,NA,0,1,1,0,0,0,Prazno,2007,44.80202,20.48009
Zvezdara,Vukov Spomenik,Celopecka,177500,74,2399,2.5,Novo,6,Centralno,Uknjizeno,1,1,1,0,0,0,Prazno,2018,44.80559,20.48027
Novi Beograd,Blok 60,New Minel,177450,70,2535,2.5,Novo,6,Centralno,Uknjizeno,1,1,1,0,0,0,NA,2019,44.82374,20.41415
Savski Venac,Sarajevska,Sarajevska,172000,78,2205,2.5,Novo,1,Centralno,Uknjizeno,0,1,0,1,0,1,NA,NA,44.8028,20.45401
Savski Venac,Sarajevska,Sarajevska,168000,78,2154,2.5,Novo,1,Centralno,Uknjizeno,0,1,1,0,0,0,Prazno,2010,44.8028,20.45401
Vracar,Cubura,Cuburski park,167400,62,2700,2.5,Novo,1,Centralno,Nije uknjizeno,0,1,1,0,0,0,Prazno,NA,44.79651,20.47493
Stari Grad,Gundulicev Venac,Venizelosova,166000,60,2767,2.5,Novo,5,Etazno,Uknjizba u toku,0,1,1,0,0,0,NA,2019,44.82005,20.4695
Vozdovac,Autokomanda,Boze Jankovica,165730,77,2152,2.5,Novo,1,Centralno,NA,1,1,1,0,0,1,NA,2020,44.74713,20.48105
Vozdovac,Autokomanda,Boze Jankovica,165730,77,2152,2.5,Novo,2,Centralno,NA,1,1,1,0,0,1,NA,2020,44.74713,20.48105
Vozdovac,Autokomanda,Boze Jankovica,165700,77,2152,2.5,Novo,4,Podno,NA,1,1,1,0,0,1,NA,2020,44.74713,20.48105
Vozdovac,Autokomanda,Boze Jankovica,165700,77,2152,2.5,Novo,3,Centralno,NA,1,1,1,0,0,1,NA,2020,44.74713,20.48105
Vracar,Kalenic,Kicevska,165000,73,2260,2.5,Novo,NA,Centralno,Uknjizeno,0,0,1,0,0,0,Prazno,NA,44.80303,20.47486
Vozdovac,Lekino Brdo,Ibarska,165000,102,1618,2.5,Novo,3,Etazno,Uknjizeno,1,1,2,0,0,0,Prazno,2009,44.78754,20.48136
Novi Beograd,Blok 67 - Belville,Jurija Gagarina,163000,60,2717,2.5,Novo,4,Centralno,Uknjizeno,1,1,1,0,0,0,Namesteno,NA,44.80407,20.37989
Zvezdara,Lipov Lad,Dravska,162745,67,2429,2.5,Novo,1,Centralno,NA,1,1,1,0,0,0,NA,2020,44.7975,20.48922
Vracar,Juzni Bulevar,Gospodara Vucica,154920,61,2540,2.5,Novo,6,Centralno,NA,1,1,1,0,0,0,NA,2020,44.79223,20.4839
Zvezdara,Lipov Lad,Dravska,150230,59,2546,2.5,Novo,6,Centralno,NA,1,1,1,0,0,0,NA,2020,44.7975,20.48922
Vracar,Crveni Krst Vracar,Cerska,150000,61,2459,2.5,Novo,4,Centralno,Nije uknjizeno,1,1,1,0,0,0,Namesteno,NA,44.79545,20.48256
Vracar,Crveni Krst Vracar,Cerska,150000,62,2419,2.5,Novo,3,Centralno,NA,0,1,1,0,0,0,Prazno,2019,44.79545,20.48256
Vracar,Hram Svetog Save,Sokolska,150000,75,2000,2.5,Novo,NA,Centralno,Uknjizeno,0,1,1,0,0,0,Prazno,2007,44.79814,20.47266
Zvezdara,Vukov Spomenik,Zahumska,149500,63,2373,2.5,Novo,5,Etazno,Uknjizeno,1,1,1,0,0,0,Namesteno,NA,44.80364,20.48267
Zemun,Zemun,Zemun,149000,64,2328,2.5,Novo,3,Centralno,Uknjizeno,1,1,1,0,0,0,Namesteno,NA,44.87213,20.32446
Zvezdara,Lipov Lad,Dravska,147620,61,2420,2.5,Novo,2,Centralno,NA,1,1,1,0,0,0,NA,2020,44.7975,20.48922
Zvezdara,Gradska Bolnica,Hadzi Mustafina,146300,77,1900,2.5,Novo,7,Centralno,Uknjizeno,0,1,1,0,0,0,NA,2018,44.80077,20.49388
Vracar,Juzni Bulevar,Gospodara Vucica,145920,61,2392,2.5,Novo,5,Centralno,NA,1,1,1,0,0,0,NA,2020,44.79223,20.4839
Palilula,Botanicka Basta,Botanicka Basta,142400,51,2792,2.5,Novo,2,Centralno,NA,1,1,1,0,0,0,Prazno,NA,44.8163,20.47328
Novi Beograd,Blok 20 - Hyatt,Blok 20 - Hyatt,141000,65,2169,2.5,Novo,3,Centralno,Uknjizeno,1,0,1,0,0,0,Namesteno,NA,44.81535,20.41593
Vozdovac,Autokomanda,Boze Jankovica,139920,65,2153,2.5,Novo,1,Centralno,NA,1,1,1,0,0,1,NA,2020,44.74713,20.48105
Vozdovac,Autokomanda,Boze Jankovica,139900,65,2152,2.5,Novo,2,Centralno,NA,1,1,1,0,0,1,NA,2020,44.74713,20.48105
Vozdovac,Autokomanda,Boze Jankovica,139900,65,2152,2.5,Novo,3,Centralno,NA,1,1,1,0,0,1,NA,2020,44.74713,20.48105
Vracar,Cubura,Sumatovacka,135000,59,2288,2.5,Novo,1,Centralno,Uknjizeno,0,1,0,0,0,0,Prazno,2012,44.79446,20.48272
Zvezdara,Uciteljsko Naselje,Generala Zaha,135000,77,1753,2.5,Novo,5,Etazno,Uknjizeno,1,1,1,0,0,0,Prazno,2018,44.79008,20.50832
Stari Grad,Centar,Centar,133000,50,2660,2.5,Novo,6,Centralno,Uknjizeno,0,1,0,0,0,0,Namesteno,NA,44.81311,20.46329
Vracar,Hram Svetog Save,Stojana Protica,133000,55,2418,2.5,Novo,3,Centralno,Uknjizeno,0,1,0,0,0,0,NA,NA,44.79659,20.4722
Vozdovac,Autokomanda,Boze Jankovica,131100,61,2149,2.5,Novo,2,Centralno,NA,1,1,1,0,0,1,NA,2020,44.74713,20.48105
Vozdovac,Autokomanda,Boze Jankovica,131100,61,2149,2.5,Novo,3,Centralno,NA,1,1,1,0,0,1,NA,2020,44.74713,20.48105
Vozdovac,Autokomanda,Boze Jankovica,131100,61,2149,2.5,Novo,4,Centralno,NA,1,1,1,0,0,1,NA,2020,44.74713,20.48105
Vozdovac,Autokomanda,Boze Jankovica,131100,61,2149,2.5,Novo,1,Centralno,NA,1,1,1,0,0,1,NA,2020,44.74713,20.48105
Zvezdara,Ðeram,Ðevdelijska,130000,60,2167,2.5,Novo,2,Centralno,Uknjizeno,0,1,1,0,0,0,Prazno,2010,44.79313,20.50491
Zvezdara,Cvetkova Pijaca,Živka Davidovica,129580,62,2090,2.5,Novo,4,Etazno,NA,1,1,1,0,0,0,NA,2019,44.78898,20.51366
Zvezdara,Cvetkova Pijaca,Živka Davidovica,129580,64,2025,2.5,Novo,4,Etazno,NA,1,1,1,0,0,0,NA,2019,44.78898,20.51366
Zvezdara,Olimp,Vitezova Karadordeve Zvezde,129500,64,2023,2.5,Novo,1,NA,Uknjizeno,1,0,1,0,0,0,Prazno,2016,44.79339,20.5249
Zemun,Zemun - Centar,Novogradska,129000,65,1985,2.5,Novo,1,Etazno,Uknjizeno,0,1,1,0,0,0,Prazno,2019,44.84632,20.40154
Novi Beograd,Blok 60,New Minel,128000,59,2169,2.5,Novo,2,Centralno,Uknjizeno,1,1,1,0,0,1,NA,2019,44.82374,20.41415
Zvezdara,Uciteljsko Naselje,Uciteljsko Naselje,125540,62,2025,2.5,Novo,2,Etazno,Uknjizeno,1,1,1,0,0,0,Prazno,NA,44.78706,20.51003
Novi Beograd,Blok 63,Vojvodanska,125000,66,1894,2.5,Novo,2,NA,Uknjizeno,1,1,0,1,0,1,Prazno,2012,44.80652,20.37317
Novi Beograd,Blok 63,Vojvodanska,125000,66,1894,2.5,Novo,2,Centralno,Uknjizeno,0,1,1,0,0,0,Namesteno,NA,44.80652,20.37317
Zvezdara,Gradska Bolnica,Hadzi Mustafina,124700,75,1663,2.5,Novo,8,Centralno,Uknjizeno,0,1,1,0,0,0,NA,2018,44.80077,20.49388
Zvezdara,Uciteljsko Naselje,Paje Jovanovica,122400,68,1800,2.5,Novo,5,Struja,Uknjizba u toku,1,1,1,0,0,0,NA,2019,44.78968,20.50765
Vracar,Crveni Krst Vracar,Cerska,122000,53,2302,2.5,Novo,1,Centralno,Uknjizeno,0,0,1,0,0,0,Prazno,2010,44.79545,20.48256
Vracar,Juzni Bulevar,Politova,120000,63,1905,2.5,Novo,Prizemlje,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,Prazno,NA,44.79211,20.47626
Stari Grad,Dorcol,Dubrovacka,120000,65,1846,2.5,Novo,6,Struja,Uknjizeno,0,1,1,0,0,0,NA,2000,44.82508,20.46136
Vracar,Juzni Bulevar,Gospodara Vucica,120000,76,1579,2.5,Novo,NA,Centralno,Uknjizeno,0,1,1,0,0,1,Namesteno,2008,44.79223,20.4839
Zvezdara,Cvetkova Pijaca,Živka Davidovica,119680,64,1870,2.5,Novo,2,Etazno,NA,1,1,1,0,0,0,NA,2019,44.78898,20.51366
Vozdovac,Stepa Stepanovic,2. srpske armije,116000,57,2035,2.5,Novo,3,Centralno,Uknjizeno,1,1,1,0,0,0,Prazno,NA,44.75615,20.49233
Zvezdara,Cvetkova Pijaca,Živka Davidovica,115940,62,1870,2.5,Novo,2,Etazno,NA,1,1,1,0,0,0,NA,2019,44.78898,20.51366
Vracar,Juzni Bulevar,Gospodara Vucica,115000,62,1855,2.5,Novo,NA,Centralno,NA,1,1,1,0,0,0,NA,2017,44.79223,20.4839
Vracar,Juzni Bulevar,Gospodara Vucica,115000,62,1855,2.5,Novo,NA,Centralno,NA,0,1,1,0,0,1,NA,2018,44.79223,20.4839
Vracar,Juzni Bulevar,Gospodara Vucica,115000,62,1855,2.5,Novo,NA,Centralno,Nije uknjizeno,0,1,1,0,0,1,Namesteno,NA,44.79223,20.4839
Vracar,Cvetkova Pijaca,Gospodara Vucica,115000,82,1402,2.5,Novo,NA,Centralno,Nije uknjizeno,0,1,1,0,0,0,NA,NA,44.79223,20.4839
Vozdovac,Banjica,Banjica,110050,71,1550,2.5,Novo,4,Centralno,Uknjizeno,1,1,1,0,0,0,Prazno,NA,44.75944,20.47304
Zvezdara,Lion,Dojranska,110000,50,2200,2.5,Novo,2,Etazno,Uknjizeno,1,0,1,0,0,0,Prazno,2017,44.79504,20.49444
Vracar,Juzni Bulevar,Gospodara Vucica,110000,54,2037,2.5,Novo,NA,Norveski radijatori,NA,0,NA,NA,NA,NA,NA,NA,2019,44.79223,20.4839
Vozdovac,Dusanovac,Kumodraska,110000,56,1964,2.5,Novo,1,Centralno,Uknjizeno,0,1,0,1,0,0,Prazno,2012,44.78249,20.47752
Vozdovac,Kumodraz,Kumodraska,110000,70,1571,2.5,Novo,1,Etazno,Nije uknjizeno,1,0,1,0,0,0,Namesteno,2015,44.78249,20.47752
Vracar,Vracar,Vracar,108040,54,2001,2.5,Novo,NA,Etazno,Uknjizeno,0,0,1,0,0,0,Prazno,NA,44.80135,20.47574
Vracar,Juzni Bulevar,Gospodara Vucica,108000,54,2000,2.5,Novo,NA,Podno,Nije uknjizeno,0,0,1,0,0,0,Prazno,NA,44.79223,20.4839
Zvezdara,Gradska Bolnica,Varovnicka,108000,60,1800,2.5,Novo,3,Etazno,NA,0,1,0,1,0,0,Prazno,2020,44.80223,20.49923
Vozdovac,Lekino Brdo,Miklosiceva,108000,62,1742,2.5,Novo,3,Etazno,Uknjizeno,0,1,1,0,0,0,Prazno,NA,44.79039,20.48257
Palilula,Profesorska Kolonija,Primorska,107700,52,2071,2.5,Novo,Prizemlje,Etazno,Uknjizeno,0,1,1,0,0,0,Prazno,NA,44.81135,20.48208
Zvezdara,Konjarnik,Živka Davidovica,107000,60,1783,2.5,Novo,1,Centralno,Uknjizeno,0,1,0,1,0,1,Prazno,NA,44.78898,20.51366
Zvezdara,Uciteljsko Naselje,Svetog Klimenta,107000,65,1646,2.5,Novo,2,Gas,Uknjizeno,1,0,1,0,0,0,NA,NA,44.78893,20.5073
Vozdovac,Banjica,Banjica,106950,69,1550,2.5,Novo,4,Centralno,Uknjizeno,1,1,1,0,0,0,Prazno,NA,44.75944,20.47304
Zvezdara,,Kamenogorska,106500,71,1500,2.5,Novo,1,Etazno,NA,0,NA,NA,NA,NA,NA,NA,2019,44.79298,20.51209
Zvezdara,Uciteljsko Naselje,Živka Davidovica,105300,54,1950,2.5,Novo,1,Podno,NA,1,1,1,0,0,0,NA,2019,44.78898,20.51366
Vozdovac,Autokomanda,Vojvode Ðurovica,105270,58,1815,2.5,Novo,2,Etazno,NA,0,1,1,0,0,0,NA,2019,44.7812,20.4786
Zvezdara,Gradska Bolnica,Hadzi Mustafina,105000,50,2100,2.5,Novo,NA,Centralno,Uknjizeno,0,1,1,0,0,0,Namesteno,NA,44.80077,20.49388
Zvezdara,Ðeram,Hadzi Mustafina,105000,60,1750,2.5,Novo,Prizemlje,Centralno,Uknjizeno,0,1,1,0,0,0,NA,2011,44.80077,20.49388
Vracar,Hram Svetog Save,Dubljanska,105000,60,1750,2.5,Novo,NA,Centralno,Uknjizeno,0,1,1,0,0,1,Namesteno,2009,44.79592,20.47143
Zemun,Meandri,Rade Koncara,105000,70,1500,2.5,Novo,Suteren,Etazno,Uknjizeno,1,NA,NA,NA,NA,NA,NA,2016,44.84589,20.386
Zemun,Meandri,Rade Koncara,105000,70,1500,2.5,Novo,Nisko,Etazno,Uknjizeno,1,0,1,1,0,0,Namesteno,NA,44.84589,20.386
Zvezdara,Cvetkova Pijaca,Podujevska,104072,57,1826,2.5,Novo,1,Centralno,Uknjizeno,1,1,1,0,0,0,Namesteno,2020,44.79049,20.51025
Palilula,Karaburma,Vojvode Micka Krstica,104000,64,1625,2.5,Novo,5,Centralno,Uknjizeno,1,1,1,0,0,0,NA,2018,44.81492,20.50599
Zemun,Gornji Grad,Gornji Grad,103140,57,1809,2.5,Novo,2,Etazno,Uknjizeno,1,0,1,0,0,0,Prazno,NA,44.85144,20.39654
Vracar,Juzni Bulevar,Gospodara Vucica,103000,54,1907,2.5,Novo,NA,NA,NA,0,0,0,1,0,0,NA,2019,44.79223,20.4839
Zvezdara,Gradska Bolnica,Mehmeda Sokolovica,102400,54,1896,2.5,Novo,1,Etazno,Uknjizeno,1,1,1,0,0,0,Namesteno,2020,44.80292,20.49475
Zemun,Gornji Grad,Alaska,100500,58,1733,2.5,Novo,NA,Podno,Uknjizeno,1,0,1,0,0,0,Prazno,NA,44.85322,20.38835
Vozdovac,Sumice,Ustanicka,99715,52,1918,2.5,Novo,3,Etazno,NA,1,1,1,0,0,0,NA,2019,44.78874,20.47401
Vozdovac,Sumice,Ustanicka,99715,52,1918,2.5,Novo,5,Etazno,NA,1,1,1,0,0,0,NA,2019,44.78874,20.47401
Zvezdara,,Djuriceva,99000,55,1800,2.5,Novo,5,Centralno,Nije uknjizeno,1,1,1,0,0,0,Namesteno,NA,44.80414,20.49033
Vozdovac,Lekino Brdo,Petrovaradinska,98280,46,2137,2.5,Novo,1,Centralno,NA,1,1,0,0,0,0,NA,2020,44.78978,20.48698
Vozdovac,Banjica,Banjica,97650,63,1550,2.5,Novo,3,Centralno,Uknjizeno,1,1,1,0,0,0,Prazno,NA,44.75944,20.47304
Vracar,Crveni Krst Vracar,Crveni Krst Vracar,97500,50,1950,2.5,Novo,6,Centralno,Uknjizeno,1,1,1,0,0,0,Prazno,NA,44.80135,20.47574
Zvezdara,Uciteljsko Naselje,Živka Davidovica,97500,50,1950,2.5,Novo,1,Podno,NA,1,1,1,0,0,0,NA,2019,44.78898,20.51366
Zvezdara,Cvetkova Pijaca,Cvetkova Pijaca,96600,59,1637,2.5,Novo,3,Etazno,Uknjizeno,0,0,1,0,0,0,Prazno,NA,44.77143,20.51277
