opstina,mesto,ulica,cena,povrsina,cena_po_m2,broj_soba,stanje,sprat,grejanje,uknjizenost,parking_garaza,Lift,Terasa,Lodja,Tavan,Podrum,namesten,godina_izgradnje,X,Y
Novi Beograd,Bezanijska Kosa,Nede Spasojevic,93000,56,1661,1.5,NA,3,NA,Uknjizeno,0,1,0,0,0,0,NA,NA,44.81317,20.36986
Vracar,Kalenic,Baba Visnjina,92000,32,2875,1.5,NA,NA,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.80119,20.47324
Zvezdara,Lion,Bulevar kralja Aleksandra,92000,41,2244,1.5,NA,1,TA pec,Uknjizeno,0,0,1,0,0,0,NA,1938,44.79757,20.49406
Vracar,Juzni Bulevar,Juzni bulevar,92000,45,2044,1.5,NA,7,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.7928,20.47359
Vracar,Juzni Bulevar,Juzni bulevar,92000,45,2044,1.5,NA,7,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.7928,20.47359
Vracar,Juzni Bulevar,Juzni bulevar,92000,45,2044,1.5,NA,7,Centralno,Uknjizeno,0,1,1,0,0,0,NA,2008,44.7928,20.47359
Vozdovac,Lekino Brdo,Juzni bulevar,92000,45,2044,1.5,NA,7,Centralno,Uknjizeno,0,1,1,0,0,1,Prazno,2007,44.7928,20.47359
Zvezdara,Lion,Suboticka,90300,43,2100,1.5,NA,1,Centralno,NA,0,1,1,0,0,0,NA,NA,44.7932,20.49928
Zvezdara,Lion,Ðevdelijska,90270,40,2257,1.5,NA,NA,Centralno,NA,0,1,0,0,0,0,NA,NA,44.79313,20.50491
Novi Beograd,Blok 21,Bulevar Mihajla Pupina,90000,39,2308,1.5,NA,3,Centralno,Nije uknjizeno,0,1,0,0,0,0,NA,NA,44.81613,20.43133
Savski Venac,Beogradanka,Admirala Geprata,90000,40,2250,1.5,NA,NA,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.80819,20.46038
Vracar,Crveni Krst Vracar,Grcica Milenka,90000,50,1800,1.5,NA,18,Centralno,Uknjizeno,0,1,0,0,0,1,NA,1984,44.79408,20.49012
Zvezdara,Uciteljsko Naselje,Živka Davidovica,90000,50,1800,1.5,NA,1,Centralno,NA,0,1,1,0,0,0,NA,NA,44.78898,20.51366
Zvezdara,Lion,Ðevdelijska,89930,39,2306,1.5,NA,1,Centralno,NA,0,1,1,0,0,0,NA,2020,44.79313,20.50491
Zvezdara,Lipov Lad,Trajka Stamenkovica,89250,35,2550,1.5,NA,3,Centralno,NA,0,1,1,0,0,0,NA,2020,44.79545,20.49334
Stari Grad,Gundulicev Venac,Gundulicev Venac,89000,42,2119,1.5,NA,1,Centralno,Uknjizeno,0,1,0,1,0,0,NA,NA,44.81885,20.47042
Vracar,Crveni Krst Vracar,Cerska,88000,39,2256,1.5,NA,NA,Centralno,NA,1,1,1,0,0,0,NA,NA,44.79545,20.48256
Zvezdara,Lion,Milana Rakica,87500,50,1750,1.5,NA,1,Centralno,Uknjizeno,1,0,1,0,0,0,NA,NA,44.79691,20.5032
Zvezdara,Ðeram,Bulevar kralja Aleksandra,87000,40,2175,1.5,NA,2,Etazno,Uknjizeno,0,0,1,0,0,1,NA,1938,44.79757,20.49406
Zvezdara,Ðeram,Bulevar kralja Aleksandra,87000,40,2175,1.5,NA,2,Etazno,Uknjizeno,0,0,1,0,0,0,Prazno,NA,44.79757,20.49406
Novi Beograd,Blok 45,Jurija Gagarina,87000,51,1706,1.5,NA,2,Centralno,Uknjizeno,0,1,0,2,0,0,NA,1973,44.80407,20.37989
Vozdovac,Lekino Brdo,Todora Dukina,86950,47,1850,1.5,NA,2,Etazno,Uknjizeno,0,0,0,1,0,0,NA,2009,44.78743,20.48373
Novi Beograd,Blok 44,Gandijeva,86000,45,1911,1.5,NA,5,Centralno,Uknjizeno,0,1,0,0,0,1,NA,1968,44.8075,20.38505
Savski Venac,Sarajevska,Sarajevska,85000,39,2179,1.5,NA,5,Centralno,Uknjizeno,1,1,1,0,0,0,NA,NA,44.8028,20.45401
Novi Beograd,Blok 23,BLOK 23 - Milentija Popovica,85000,42,2024,1.5,NA,NA,Centralno,Uknjizeno,1,0,2,1,0,0,NA,NA,44.80575,20.42805
Zemun,,Backa,85000,49,1735,1.5,NA,5,Centralno,Uknjizeno,0,1,1,0,0,1,Prazno,NA,44.84486,20.37859
Savski Venac,Dedinje,Sime Lozanica,85000,50,1700,1.5,NA,Prizemlje,NA,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.77435,20.465
Vozdovac,Saobracajni fakultet,Ljuba Vuckovica,84000,50,1680,1.5,NA,6,Centralno,Uknjizeno,0,2,0,1,0,0,NA,NA,44.76937,20.48265
Vozdovac,Saobracajni fakultet,Ljuba Vuckovica,84000,50,1680,1.5,NA,6,Centralno,Uknjizeno,0,2,0,1,0,0,NA,1990,44.76937,20.48265
Zemun,Sava Kovacevic,Silerova,83500,51,1637,1.5,NA,NA,Centralno,NA,0,1,0,1,0,0,NA,2019,44.8468,20.38778
Vozdovac,Lekino Brdo,Vidska,83000,42,1976,1.5,NA,NA,Centralno,Uknjizeno,0,1,1,0,0,0,Prazno,NA,44.78666,20.48439
Savski Venac,Slavija,Kralja Milana,83000,45,1844,1.5,NA,Prizemlje,Struja,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.80479,20.46548
Novi Beograd,Blok 38,Milutina Milankovica,83000,49,1694,1.5,NA,16,Centralno,Uknjizeno,0,2,0,1,0,0,NA,1970,44.8114,20.41294
Vozdovac,Brace Jerkovic,Vojvode Vlahovica,83000,70,1186,1.5,NA,Prizemlje,Etazno,Uknjizeno,1,0,1,0,0,0,Polunamesteno,NA,44.75681,20.50663
Vracar,Crveni Krst Vracar,Sazonova,81600,34,2400,1.5,NA,3,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.7959,20.48261
Vracar,Cvetni Trg,Misarska,81600,35,2331,1.5,NA,Prizemlje,Etazno,Uknjizeno,0,1,0,0,0,0,Prazno,NA,44.80672,20.46605
Zvezdara,Cvetkova Pijaca,Onisima Popovica,81600,48,1700,1.5,NA,2,Etazno,NA,0,0,1,0,0,0,NA,NA,44.7898,20.51194
Vozdovac,Donji Vozdovac,Kumodraska,80410,43,1870,1.5,NA,1,Centralno,NA,0,1,1,0,0,0,NA,NA,44.78249,20.47752
